Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-1_Full64; Runtime version N-2017.12-SP2-1_Full64;  Dec 29 16:26 2020
VCD+ Writer N-2017.12-SP2-1_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
Time:   0 out:         x
Time:70500 out:         X
Time:71500 out:         x
Time:74500 out:         X
Time:75500 out:         x
Time:78500 out:         X
Time:79500 out:         x
Time:82500 out:         X
Time:83500 out:         x
Time:86500 out:         X
Time:87500 out:         x
Time:90500 out:         X
Time:91500 out:         x
Time:94500 out:         X
Time:95500 out:         x
Time:98500 out:         X
Time:99500 out:         x
Time:102500 out:         X
Time:103500 out:         x
Time:106500 out:         X
Time:107500 out:         x
Time:110500 out:         X
Time:111500 out:         x
Time:114500 out:         X
Time:115500 out:         x
Time:118500 out:         X
Time:119500 out:         x
Time:122500 out:         X
Time:123500 out:         x
Time:126500 out:         X
Time:127500 out:         x
Time:130500 out:         X
Time:131500 out:         x
Time:134500 out:         X
Time:135500 out:         x
Time:137500 out:         X
Time:139500 out:         x
Time:141500 out:         X
Time:143500 out:         x
Time:145500 out:         X
Time:147500 out:         x
Time:149500 out:         X
Time:151500 out:         x
Time:153500 out:         X
Time:155500 out:         x
Time:157500 out:         X
Time:159500 out:         x
Time:161500 out:         X
Time:163500 out:         x
Time:165500 out:         X
Time:167500 out:         x
Time:169500 out:         X
Time:171500 out:         x
Time:173500 out:         X
Time:175500 out:         x
Time:177500 out:         X
Time:179500 out:         x
Time:181500 out:         X
Time:183500 out:         x
Time:185500 out:         X
Time:187500 out:         x
Time:189500 out:         X
Time:191500 out:         x
Time:193500 out:         X
Time:195500 out:         x
Time:197500 out:         X
Time:199500 out:         x
Time:201500 out:         X
Time:203500 out:         x
Time:204500 out:         X
Time:207500 out:         x
Time:208500 out:         X
Time:211500 out:         x
Time:212500 out:         X
Time:215500 out:         x
Time:216500 out:         X
Time:219500 out:         x
Time:220500 out:         X
Time:223500 out:         x
Time:224500 out:         X
Time:227500 out:         x
Time:228500 out:         X
Time:231500 out:         x
Time:232500 out:         X
Time:235500 out:         x
Time:236500 out:         X
Time:239500 out:         x
Time:240500 out:         X
Time:243500 out:         x
Time:244500 out:         X
Time:247500 out:         x
Time:248500 out:         X
Time:251500 out:         x
Time:252500 out:         X
Time:255500 out:         x
Time:256500 out:         X
Time:259500 out:         x
Time:260500 out:         X
Time:263500 out:         x
Time:264500 out:         X
Time:267500 out:         x
Time:268500 out:         X
$finish called from file "BC_fb/BC_total_test.v", line 43.
$finish at simulation time               402000
           V C S   S i m u l a t i o n   R e p o r t 
Time: 402000
CPU Time:      0.280 seconds;       Data structure size:   0.0Mb
Tue Dec 29 16:26:05 2020
